Date,Australia ($'000),NSW ($'000),Vic ($'000),Qld ($'000),SA ($'000),WA ($'000),Tas ($'000),NT ($'000),ACT ($'000)
Mar-04,229.029,280.498,232.392,227.418,161.945,181.901,148.579,196.694,266.594
Apr-04,236.759,294.645,238.585,234.635,170.994,191.279,142.313,207.818,262.892
May-04,239.467,300.361,235.725,231.361,170.751,188.437,159.314,186.139,259.31
Jun-04,235.491,287.947,234.878,234.877,169.858,185.879,148.193,197.84,267.352
Jul-04,239.606,294.026,240.622,236.758,170.427,194.158,164.753,210.272,279.699
Aug-04,236.818,295.944,242.822,231.207,169.508,191.754,155.74,204.061,266.579
Sep-04,238.607,298.78,238.026,235.096,174.26,191.829,156.637,196.03,263.294
Oct-04,240.095,301.637,238.207,238.126,167.516,199.066,162.007,198.469,274.499
Nov-04,239.695,302.242,240.46,236.104,170.399,195.833,155.769,207.604,271.498
Dec-04,245.106,309.528,245.746,243.198,177.325,195.476,166.848,195.642,274.545
Jan-05,240.042,291.16,245.542,241.72,177.331,199.944,178.227,206.481,276.638
Feb-05,241.05,290.709,240.972,244.757,177.801,205.026,170.297,198.383,262.836
Mar-05,239.59,291.515,242.259,239.29,182.618,196.833,171.429,193.208,274.163
Apr-05,241.523,290.377,242.351,245.87,180.092,205.108,169.636,198.477,265.495
May-05,243.751,297.339,244.907,246.562,178.994,201.894,169.539,217.09,268.565
Jun-05,245.14,297.083,248.39,244.661,180.256,203.564,165.418,221.462,277.458
Jul-05,247.987,301.912,249.145,245.027,183.417,211.024,173.783,210.606,257.763
Aug-05,247.586,301.007,252.121,248.318,178.54,208.618,175.741,202.058,267.8
Sep-05,250.216,302.989,246.017,250.586,184.362,214.15,177.08,229.016,260.672
Oct-05,248.442,300.377,244.048,248.724,183.902,215.577,173.343,223.517,283.191
Nov-05,250.15,303.036,247.431,247.899,184.504,222.105,172.09,213.865,264.547
Dec-05,255.34,303.098,250.668,258.894,194.014,227.239,178.917,213.226,293.458
Jan-06,250.766,293.653,252.551,257.71,185.691,227.775,195.884,215.228,246.111
Feb-06,249.083,289.82,253.153,249.17,197.641,225.883,180.585,209.485,270.197
Mar-06,254.5,299.111,251.825,252.627,196.158,233.521,181.25,227.477,279.376
Apr-06,256.049,303.969,250.919,254.496,202.678,228.633,184.939,212.212,284.45
May-06,258.478,305.907,249.976,252.383,200.222,244.338,183.19,224.47,273.143
Jun-06,256.433,297.626,246.265,255.796,196.096,249.352,180.682,228.604,268.432
Jul-06,259.638,296.4,251.728,258.038,194.35,263.243,179.679,227.089,275.14
Aug-06,258.383,293.755,252.998,256.463,196.269,258.599,186.331,232.353,282.15
Sep-06,259.482,294.91,252.32,260.512,202.94,256.539,193.544,231.3,268.522
Oct-06,262.972,288.496,255.721,268.904,208.956,264.021,184.72,237.088,281.138
Nov-06,263.968,297.84,259.621,257.44,208.772,266.721,183.333,236.193,281.361
Dec-06,267.209,298.321,264.508,266.133,210.975,267.066,182.171,235.097,299.636
Jan-07,264.922,293.641,263.263,265.183,213.243,266.778,185.337,245.675,260.89
Feb-07,265.861,293.158,258.197,266.679,209.883,280.402,188.259,242.014,291.36
Mar-07,271.665,303.717,259.843,273.284,207.126,282.448,189.764,270.918,297.701
Apr-07,273.03,314.053,258.238,273,217.219,263.313,194.792,248.136,307.26
May-07,282.149,311.183,272.965,281.988,218.506,299.767,203.655,240.483,298.381
Jun-07,294.369,331.866,281.437,290.549,235.268,301.888,204.497,263.343,312.15
Jul-07,288.54,326.084,274.952,287.887,227.31,296.619,186.101,262.682,305.838
Aug-07,287.624,314.535,280.669,291.076,228.621,297.54,190.493,244.343,299.376
Sep-07,287.172,319.587,277.983,286.124,235.552,296.174,196.144,244.745,297.77
Oct-07,288.449,323.493,278.553,287.805,234.478,288.858,197.133,260.383,304.61
Nov-07,288.446,324.866,274.986,289.061,234.48,293.562,191.564,275.346,295.77
Dec-07,290.793,331.409,282.184,287.436,238.887,286.211,193.059,245.507,322.01
Jan-08,288.691,323.038,281.282,290.783,236.305,286.07,199.871,243.421,317.932
Feb-08,281.814,302.876,272.58,288.442,229.276,302.131,192.834,252.189,313.793
Mar-08,283.844,315.029,272.283,287.023,230.267,293.47,194.762,241.007,299.437
Apr-08,289.696,322.359,275.186,288.664,241.493,301.6,202.158,275.082,308.348
May-08,299.511,336.746,289.426,300.958,241.708,297.221,196.232,273.702,314.257
Jun-08,303.733,340.203,294.355,304.062,245.489,303.883,201.538,280,319.253
Jul-08,301.076,333.21,291.374,301.656,246.768,309.055,187.719,317.073,297.974
Aug-08,303.624,339.471,287.898,305.406,254.443,306.013,212.842,301.778,326.501
Sep-08,307.646,332.046,297.755,315.946,256.886,309.188,212.075,316.412,330.041
Oct-08,314.787,344.179,306.417,314.348,262.364,318.289,222.342,316.224,354.16
Nov-08,308.847,340.526,302.129,304.749,264.364,309.521,210.414,332.155,334.947
Dec-08,311.181,339.839,301.71,316.037,259.555,317.284,208.241,325.588,326.34
Jan-09,305.893,329.178,298.659,311.872,253.741,318.581,213.619,323.333,331.44
Feb-09,305.358,328.015,290.794,313.049,251.302,326.754,218.078,315.106,331.851
Mar-09,315.864,340.824,298.038,322.986,254.861,335.461,220.618,350.131,340.076
Apr-09,319.831,343.596,299.009,325.577,256.844,349.823,229.349,353.495,350.375
May-09,319.039,349.615,301.301,321.082,252.928,339.198,229.056,343.195,344.506
Jun-09,317.033,347.733,303.276,314.459,253.188,341.152,210.211,307.975,342.34
Jul-09,321.391,345.772,311.482,315.81,261.152,351.152,226.579,344.839,343.969
Aug-09,321.519,350.801,309.083,312.943,255.971,356.34,225.905,352.982,342.73
Sep-09,327.13,358.913,314.81,319.411,258.425,352.909,218.712,332.381,364.604
Oct-09,330.228,366.869,320.391,324.411,258.423,346.801,226.603,343.636,347.231
Nov-09,342.228,383.839,325.687,337.897,263.44,361.6,233.509,366.909,356.672
