Date,Total refinancing ($b),Owner-occupier refinancing ($b),Investor refinancing ($b)
Mar-04,3.306,2.556,0.75
Apr-04,3.291,2.532,0.759
May-04,3.344,2.495,0.849
Jun-04,3.394,2.533,0.861
Jul-04,3.362,2.461,0.901
Aug-04,3.351,2.475,0.876
Sep-04,3.245,2.479,0.766
Oct-04,3.2,2.466,0.735
Nov-04,3.225,2.517,0.707
Dec-04,3.373,2.614,0.76
Jan-05,3.417,2.709,0.709
Feb-05,3.591,2.832,0.759
Mar-05,3.702,2.965,0.737
Apr-05,3.817,3.046,0.771
May-05,3.961,3.088,0.873
Jun-05,3.958,3.042,0.916
Jul-05,4.032,3.118,0.914
Aug-05,4.03,3.102,0.929
Sep-05,4.182,3.241,0.941
Oct-05,4.125,3.182,0.942
Nov-05,4.13,3.208,0.922
Dec-05,4.367,3.164,1.204
Jan-06,3.904,3.056,0.848
Feb-06,4.19,3.2,0.99
Mar-06,4.072,3.177,0.895
Apr-06,4.134,3.07,1.064
May-06,4.139,3.359,0.78
Jun-06,4.224,3.398,0.827
Jul-06,4.333,3.5,0.833
Aug-06,4.454,3.562,0.892
Sep-06,4.457,3.551,0.905
Oct-06,4.464,3.613,0.851
Nov-06,4.532,3.629,0.903
Dec-06,4.431,3.488,0.943
Jan-07,4.558,3.496,1.063
Feb-07,4.626,3.465,1.161
Mar-07,4.473,3.388,1.086
Apr-07,4.656,3.522,1.135
May-07,4.501,3.447,1.054
Jun-07,4.522,3.487,1.035
Jul-07,4.234,3.176,1.058
Aug-07,4.486,3.424,1.063
Sep-07,4.516,3.411,1.105
Oct-07,4.383,3.245,1.138
Nov-07,4.667,3.443,1.224
Dec-07,4.791,3.607,1.184
Jan-08,4.955,3.686,1.268
Feb-08,4.893,3.623,1.27
Mar-08,4.688,3.5,1.188
Apr-08,4.583,3.371,1.212
May-08,4.33,3.189,1.141
Jun-08,4.162,3.148,1.013
Jul-08,4.364,3.134,1.231
Aug-08,4.311,3.138,1.173
Sep-08,4.093,2.836,1.258
Oct-08,4.469,3.126,1.343
Nov-08,4.584,3.228,1.356
Dec-08,5.026,3.515,1.511
Jan-09,4.945,3.412,1.534
Feb-09,4.729,3.147,1.583
Mar-09,5.107,3.446,1.661
Apr-09,5.071,3.467,1.604
May-09,5.003,3.438,1.564
Jun-09,4.876,3.386,1.49
Jul-09,4.601,3.215,1.386
Aug-09,4.392,3.009,1.383
Sep-09,4.247,2.937,1.31
Oct-09,4.171,2.929,1.242
Nov-09,4.069,2.82,1.248
Dec-09,3.78,2.757,1.023
Jan-10,3.575,2.588,0.987
Feb-10,3.525,2.669,0.856
Mar-10,3.473,2.643,0.83
Apr-10,3.431,2.603,0.828
May-10,3.573,2.633,0.94
Jun-10,3.637,2.722,0.916
Jul-10,3.732,2.817,0.914
Aug-10,3.835,2.918,0.917
Sep-10,3.849,2.928,0.921
Oct-10,4.019,3.019,1
Nov-10,4.072,3.073,0.999
Dec-10,4.431,3.41,1.02
Jan-11,4.132,3.206,0.925
Feb-11,3.926,2.977,0.95
Mar-11,3.967,2.934,1.033
Apr-11,4.235,3.174,1.061
May-11,4.555,3.39,1.165
Jun-11,4.515,3.368,1.147
Jul-11,4.754,3.543,1.211
Aug-11,4.867,3.643,1.224
Sep-11,4.894,3.633,1.261
Oct-11,4.758,3.549,1.209
Nov-11,4.731,3.521,1.21
Dec-11,5.044,3.722,1.322
Jan-12,5.103,3.731,1.372
Feb-12,5.158,3.69,1.468
Mar-12,5.214,3.68,1.534
Apr-12,4.912,3.613,1.299
May-12,4.996,3.573,1.423
Jun-12,4.994,3.498,1.496
Jul-12,4.889,3.408,1.481
Aug-12,5.027,3.436,1.592
Sep-12,5.007,3.408,1.598
Oct-12,5.015,3.482,1.534
Nov-12,5.094,3.451,1.643
Dec-12,4.935,3.385,1.55
Jan-13,5.105,3.43,1.674
Feb-13,5.081,3.432,1.648
Mar-13,5.211,3.575,1.635
Apr-13,5.368,3.644,1.724
May-13,5.417,3.752,1.665
Jun-13,5.645,3.932,1.713
Jul-13,6.455,3.801,2.654
Aug-13,6.156,3.641,2.514
Sep-13,6.724,3.915,2.809
Oct-13,6.82,3.878,2.942
Nov-13,6.934,3.932,3.003
Dec-13,6.888,3.865,3.023
Jan-14,6.877,3.886,2.991
Feb-14,7.327,4.208,3.119
Mar-14,7.12,3.958,3.162
Apr-14,7.382,4.054,3.329
May-14,7.437,4.076,3.361
Jun-14,7.631,4.192,3.438
Jul-14,7.845,4.283,3.562
Aug-14,7.821,4.275,3.546
Sep-14,8.039,4.284,3.755
Oct-14,8.387,4.402,3.985
Nov-14,8.437,4.475,3.962
Dec-14,8.659,4.585,4.073
Jan-15,8.718,4.687,4.032
Feb-15,9.05,4.943,4.107
Mar-15,9.291,5.001,4.29
Apr-15,9.407,5.224,4.183
May-15,9.233,4.99,4.243
Jun-15,9.177,5.352,3.825
Jul-15,8.928,5.423,3.505
Aug-15,8.82,5.477,3.343
Sep-15,8.811,5.75,3.061
Oct-15,8.979,5.899,3.08
Nov-15,9.234,6.084,3.149
Dec-15,9.69,6.44,3.251
Jan-16,9.301,6.028,3.274
Feb-16,9.308,5.983,3.324
Mar-16,9.399,6.184,3.215
Apr-16,9.442,6.222,3.219
May-16,9.344,6.054,3.29
Jun-16,9.778,6.131,3.647
Jul-16,9.737,6.141,3.597
Aug-16,9.431,5.771,3.66
Sep-16,9.594,6.045,3.549
Oct-16,8.991,5.812,3.179
Nov-16,9.059,5.654,3.404
Dec-16,8.955,5.514,3.441
Jan-17,9.031,5.697,3.333
Feb-17,8.659,5.371,3.288
Mar-17,8.751,5.408,3.343
Apr-17,8.421,5.206,3.214
May-17,8.843,5.443,3.399
Jun-17,8.855,5.378,3.477
Jul-17,8.653,5.204,3.449
Aug-17,9.084,5.283,3.801
Sep-17,8.71,5.309,3.401
Oct-17,8.48,5.34,3.14
Nov-17,8.929,5.494,3.434
Dec-17,9.237,5.67,3.567
Jan-18,9.432,5.657,3.775
Feb-18,9.668,5.694,3.974
Mar-18,9.125,5.472,3.654
Apr-18,9.396,5.687,3.709
May-18,9.248,5.638,3.61
Jun-18,8.935,5.511,3.424
Jul-18,9.271,5.837,3.434
Aug-18,9.11,5.694,3.416
Sep-18,8.804,5.405,3.398
Oct-18,8.966,5.533,3.433
Nov-18,8.879,5.439,3.44
Dec-18,8.539,5.294,3.245
Jan-19,8.249,5.03,3.219
Feb-19,8.392,5.244,3.148
Mar-19,8.411,5.205,3.206
Apr-19,8.314,5.176,3.138
May-19,8.431,5.23,3.201
Jun-19,8.342,5.113,3.23
Jul-19,8.51,5.383,3.127
Aug-19,9.242,5.72,3.522
Sep-19,9.84,6.106,3.734
Oct-19,9.818,5.984,3.835
Nov-19,10.014,6.15,3.864
Dec-19,10.279,6.378,3.901
Jan-20,10.469,6.674,3.795
Feb-20,10.911,7.035,3.876
Mar-20,10.541,6.71,3.831
Apr-20,11.449,7.506,3.943
May-20,14.452,9.632,4.82
Jun-20,14.141,9.374,4.766
Jul-20,10.769,6.992,3.777
Aug-20,11.248,7.184,4.065
Sep-20,12.961,7.961,5
Oct-20,12.04,7.388,4.652
Nov-20,10.139,6.255,3.885
Dec-20,11.198,6.905,4.293
Jan-21,12.03,7.686,4.343
Feb-21,13.309,8.609,4.7
Mar-21,12.767,8.305,4.462
Apr-21,13.543,8.914,4.629
May-21,14.876,9.895,4.981
Jun-21,16.243,10.837,5.406
Jul-21,17.221,11.366,5.856
Aug-21,17.78,11.251,6.529
Sep-21,16.212,10.238,5.974
Oct-21,16.178,10.355,5.823
Nov-21,15.853,10.203,5.65
Dec-21,15.741,10.337,5.404
Jan-22,14.35,9.296,5.055
Feb-22,15.646,10.369,5.277
Mar-22,16.362,10.784,5.577
