Date,"Owner occupier first home buyers, seasonally adjusted"
Mar-04,"6,003"
Apr-04,"6,113"
May-04,"6,492"
Jun-04,"6,755"
Jul-04,"7,093"
Aug-04,"7,387"
Sep-04,"7,381"
Oct-04,"7,157"
Nov-04,"7,493"
Dec-04,"7,677"
Jan-05,"8,107"
Feb-05,"8,309"
Mar-05,"8,433"
Apr-05,"8,386"
May-05,"8,664"
Jun-05,"8,660"
Jul-05,"8,502"
Aug-05,"9,035"
Sep-05,"9,317"
Oct-05,"9,433"
Nov-05,"9,754"
Dec-05,"9,763"
Jan-06,"9,681"
Feb-06,"9,838"
Mar-06,"10,377"
Apr-06,"10,508"
May-06,"10,137"
Jun-06,"10,034"
Jul-06,"10,030"
Aug-06,"9,414"
Sep-06,"9,825"
Oct-06,"9,755"
Nov-06,"9,705"
Dec-06,"9,577"
Jan-07,"9,508"
Feb-07,"9,785"
Mar-07,"10,032"
Apr-07,"10,464"
May-07,"10,070"
Jun-07,"10,355"
Jul-07,"10,164"
Aug-07,"10,320"
Sep-07,"10,090"
Oct-07,"10,435"
Nov-07,"10,616"
Dec-07,"10,602"
Jan-08,"10,730"
Feb-08,"10,028"
Mar-08,"9,032"
Apr-08,"8,579"
May-08,"8,199"
Jun-08,"8,187"
Jul-08,"8,455"
Aug-08,"8,284"
Sep-08,"8,288"
Oct-08,"8,216"
Nov-08,"10,320"
Dec-08,"12,212"
Jan-09,"13,855"
Feb-09,"14,687"
Mar-09,"16,273"
Apr-09,"16,753"
May-09,"16,666"
Jun-09,"16,477"
Jul-09,"14,851"
Aug-09,"13,954"
Sep-09,"14,268"
Oct-09,"14,038"
Nov-09,"11,284"
Dec-09,"10,054"
Jan-10,"9,304"
Feb-10,"8,345"
Mar-10,"7,338"
Apr-10,"7,120"
May-10,"7,255"
Jun-10,"6,693"
Jul-10,"6,843"
Aug-10,"6,652"
Sep-10,"6,650"
Oct-10,"6,397"
Nov-10,"6,655"
Dec-10,"7,081"
Jan-11,"6,456"
Feb-11,"6,160"
Mar-11,"6,667"
Apr-11,"6,839"
May-11,"6,776"
Jun-11,"6,687"
Jul-11,"6,635"
Aug-11,"6,837"
Sep-11,"7,270"
Oct-11,"7,823"
Nov-11,"8,087"
Dec-11,"9,212"
Jan-12,"8,794"
Feb-12,"7,110"
Mar-12,"7,209"
Apr-12,"7,315"
May-12,"7,482"
Jun-12,"7,713"
Jul-12,"7,980"
Aug-12,"8,019"
Sep-12,"8,002"
Oct-12,"7,852"
Nov-12,"7,412"
Dec-12,"6,993"
Jan-13,"7,202"
Feb-13,"7,153"
Mar-13,"7,538"
Apr-13,"7,630"
May-13,"7,771"
Jun-13,"7,951"
Jul-13,"8,142"
Aug-13,"7,919"
Sep-13,"7,722"
Oct-13,"7,681"
Nov-13,"7,693"
Dec-13,"7,198"
Jan-14,"7,609"
Feb-14,"7,693"
Mar-14,"7,617"
Apr-14,"7,376"
May-14,"7,571"
Jun-14,"7,596"
Jul-14,"7,210"
Aug-14,"7,504"
Sep-14,"7,438"
Oct-14,"7,492"
Nov-14,"7,196"
Dec-14,"7,066"
Jan-15,"6,997"
Feb-15,"7,313"
Mar-15,"7,437"
Apr-15,"7,370"
May-15,"6,835"
Jun-15,"7,078"
Jul-15,"6,932"
Aug-15,"6,876"
Sep-15,"6,779"
Oct-15,"6,495"
Nov-15,"6,580"
Dec-15,"6,895"
Jan-16,"6,856"
Feb-16,"6,958"
Mar-16,"6,779"
Apr-16,"7,153"
May-16,"7,022"
Jun-16,"7,008"
Jul-16,"6,719"
Aug-16,"6,470"
Sep-16,"6,585"
Oct-16,"6,643"
Nov-16,"6,694"
Dec-16,"6,815"
Jan-17,"6,782"
Feb-17,"6,704"
Mar-17,"6,959"
Apr-17,"7,096"
May-17,"7,039"
Jun-17,"7,688"
Jul-17,"8,536"
Aug-17,"9,117"
Sep-17,"8,805"
Oct-17,"8,828"
Nov-17,"9,150"
Dec-17,"8,814"
Jan-18,"8,882"
Feb-18,"8,910"
Mar-18,"8,764"
Apr-18,"8,657"
May-18,"8,686"
Jun-18,"8,787"
Jul-18,"8,827"
Aug-18,"8,608"
Sep-18,"8,353"
Oct-18,"8,534"
Nov-18,"8,669"
Dec-18,"7,675"
Jan-19,"7,651"
Feb-19,"7,874"
Mar-19,"7,897"
Apr-19,"8,021"
May-19,"8,201"
Jun-19,"8,418"
Jul-19,"8,502"
Aug-19,"9,099"
Sep-19,"9,035"
Oct-19,"9,084"
Nov-19,"9,449"
Dec-19,"9,577"
Jan-20,"9,565"
Feb-20,"9,525"
Mar-20,"9,713"
Apr-20,"9,504"
May-20,"8,688"
Jun-20,"9,429"
Jul-20,"10,736"
Aug-20,"12,820"
Sep-20,"13,371"
Oct-20,"13,581"
Nov-20,"14,064"
Dec-20,"15,004"
Jan-21,"16,257"
Feb-21,"15,798"
Mar-21,"15,468"
Apr-21,"15,171"
May-21,"15,050"
Jun-21,"13,869"
Jul-21,"12,930"
Aug-21,"12,547"
Sep-21,"11,855"
Oct-21,"11,343"
Nov-21,"11,645"
Dec-21,"11,751"
Jan-22,"10,911"
Feb-22,"9,977"
Mar-22,"10,394"
