Date,Total (ex. refinancing) ($b),Owner occupier (ex. Refinancing) ($b),Investor (ex. Refinancing) ($b)
Mar-04,12.453,7.171,5.282
Apr-04,12.486,7.24,5.246
May-04,12.347,7.271,5.077
Jun-04,11.8,7.256,4.544
Jul-04,12.017,7.32,4.696
Aug-04,12.053,7.398,4.655
Sep-04,12.218,7.42,4.798
Oct-04,11.971,7.429,4.542
Nov-04,12.561,7.682,4.878
Dec-04,12.914,7.902,5.012
Jan-05,13.234,8.107,5.128
Feb-05,13.826,8.491,5.335
Mar-05,13.52,8.234,5.287
Apr-05,13.309,8.147,5.162
May-05,12.68,7.977,4.703
Jun-05,12.687,8.154,4.533
Jul-05,12.827,8.08,4.747
Aug-05,12.87,8.279,4.592
Sep-05,13.519,8.635,4.884
Oct-05,14.034,8.732,5.301
Nov-05,14.06,8.858,5.202
Dec-05,14.058,8.903,5.155
Jan-06,14.279,8.966,5.313
Feb-06,14.425,9.176,5.248
Mar-06,14.578,9.298,5.28
Apr-06,14.509,9.259,5.25
May-06,15.404,9.642,5.763
Jun-06,15.543,9.513,6.03
Jul-06,15.256,9.769,5.487
Aug-06,15.04,9.518,5.522
Sep-06,14.166,9.178,4.988
Oct-06,14.329,9.293,5.037
Nov-06,14.199,9.227,4.972
Dec-06,14.61,9.43,5.181
Jan-07,14.927,9.544,5.384
Feb-07,15.399,9.766,5.633
Mar-07,15.897,10.069,5.829
Apr-07,16.363,10.322,6.041
May-07,17.052,10.647,6.404
Jun-07,18.302,11.356,6.947
Jul-07,17.407,10.77,6.637
Aug-07,17.399,11.018,6.381
Sep-07,16.829,10.516,6.313
Oct-07,16.816,10.738,6.077
Nov-07,16.986,10.654,6.332
Dec-07,16.557,10.371,6.186
Jan-08,16.899,10.805,6.094
Feb-08,15.656,9.88,5.776
Mar-08,14.55,9.138,5.412
Apr-08,13.905,8.744,5.16
May-08,12.96,8.168,4.792
Jun-08,12.961,8.199,4.762
Jul-08,12.786,8.136,4.65
Aug-08,12.643,7.979,4.664
Sep-08,12.978,8.237,4.741
Oct-08,13.347,8.539,4.808
Nov-08,13.098,8.606,4.492
Dec-08,13.886,9.337,4.549
Jan-09,14.894,10.233,4.661
Feb-09,15.366,10.782,4.584
Mar-09,16.71,11.961,4.749
Apr-09,17.041,11.955,5.085
May-09,16.849,11.822,5.027
Jun-09,17.208,11.96,5.247
Jul-09,17.169,11.729,5.44
Aug-09,17.351,11.644,5.706
Sep-09,17.886,12.181,5.706
Oct-09,17.612,11.819,5.793
Nov-09,17.075,11.09,5.985
Dec-09,16.502,10.617,5.885
Jan-10,15.955,10.124,5.831
Feb-10,15.67,9.794,5.876
Mar-10,15.519,9.572,5.948
Apr-10,15.258,9.36,5.898
May-10,15.423,9.433,5.99
Jun-10,15.119,9.13,5.989
Jul-10,15.048,9.292,5.756
Aug-10,14.636,9.234,5.402
Sep-10,14.617,9.143,5.474
Oct-10,14.658,9.176,5.482
Nov-10,14.711,9.321,5.39
Dec-10,15,9.426,5.573
Jan-11,14.159,9.015,5.144
Feb-11,14.064,8.872,5.192
Mar-11,13.628,8.828,4.8
Apr-11,13.994,9.004,4.99
May-11,14.238,9.081,5.157
Jun-11,14.137,9.098,5.039
Jul-11,14.085,9.035,5.05
Aug-11,14.157,9.026,5.131
Sep-11,13.931,8.793,5.138
Oct-11,13.858,8.864,4.993
Nov-11,14.052,8.973,5.079
Dec-11,14.73,9.406,5.324
Jan-12,14.774,9.397,5.376
Feb-12,14.068,8.667,5.402
Mar-12,14.101,8.711,5.39
Apr-12,14.349,8.926,5.423
May-12,14.51,9.106,5.404
Jun-12,14.736,9.252,5.484
Jul-12,14.771,9.272,5.499
Aug-12,14.859,9.427,5.432
Sep-12,15.095,9.493,5.602
Oct-12,14.885,9.371,5.514
