Date,Total purpose excluding refinancing ($b),Purchase of road vehicles ($b),Personal investment (excluding housing) ($b),Other purposes ($b)
Mar-04,1.579,0.827,0.455,0.217
Apr-04,1.542,0.826,0.404,0.205
May-04,1.479,0.811,0.351,0.201
Jun-04,1.627,0.814,0.49,0.202
Jul-04,1.624,0.827,0.49,0.201
Aug-04,1.635,0.812,0.53,0.199
Sep-04,1.653,0.838,0.5,0.214
Oct-04,1.682,0.823,0.531,0.207
Nov-04,1.634,0.819,0.525,0.205
Dec-04,1.585,0.739,0.577,0.176
Jan-05,1.512,0.727,0.503,0.188
Feb-05,1.436,0.751,0.405,0.188
Mar-05,1.485,0.74,0.454,0.187
Apr-05,1.512,0.747,0.486,0.194
May-05,1.406,0.736,0.394,0.188
Jun-05,1.445,0.72,0.423,0.183
Jul-05,1.439,0.727,0.4,0.196
Aug-05,1.451,0.742,0.423,0.18
Sep-05,1.47,0.722,0.456,0.192
Oct-05,1.471,0.699,0.472,0.19
Nov-05,1.45,0.7,0.475,0.189
Dec-05,1.493,0.705,0.491,0.201
Jan-06,1.537,0.711,0.532,0.199
Feb-06,1.54,0.693,0.565,0.191
Mar-06,1.489,0.681,0.531,0.192
Apr-06,1.517,0.665,0.558,0.183
May-06,1.592,0.693,0.563,0.214
Jun-06,1.586,0.688,0.506,0.211
Jul-06,1.549,0.706,0.485,0.228
Aug-06,1.463,0.712,0.408,0.227
Sep-06,1.446,0.723,0.366,0.226
Oct-06,1.439,0.732,0.352,0.21
Nov-06,1.484,0.751,0.372,0.238
Dec-06,1.515,0.734,0.406,0.232
Jan-07,1.515,0.746,0.427,0.217
Feb-07,1.537,0.754,0.437,0.222
Mar-07,1.616,0.779,0.481,0.235
Apr-07,1.665,0.778,0.536,0.24
May-07,1.684,0.816,0.548,0.228
Jun-07,1.857,0.819,0.556,0.278
Jul-07,1.595,0.802,0.472,0.215
Aug-07,1.649,0.789,0.576,0.21
Sep-07,1.664,0.789,0.572,0.212
Oct-07,1.684,0.813,0.545,0.23
Nov-07,1.72,0.816,0.597,0.237
Dec-07,1.696,0.837,0.499,0.241
Jan-08,1.731,0.832,0.562,0.249
Feb-08,1.703,0.828,0.551,0.239
Mar-08,1.657,0.829,0.482,0.217
Apr-08,1.631,0.81,0.512,0.242
May-08,1.624,0.78,0.54,0.198
Jun-08,1.463,0.788,0.34,0.236
Jul-08,1.603,0.773,0.493,0.232
Aug-08,1.559,0.761,0.483,0.228
Sep-08,1.539,0.751,0.487,0.2
Oct-08,1.51,0.733,0.501,0.188
Nov-08,1.346,0.651,0.452,0.172
Dec-08,1.418,0.702,0.46,0.167
Jan-09,1.414,0.712,0.424,0.191
Feb-09,1.394,0.693,0.406,0.205
Mar-09,1.407,0.678,0.446,0.204
Apr-09,1.427,0.689,0.433,0.206
May-09,1.401,0.669,0.427,0.2
Jun-09,1.512,0.638,0.459,0.224
Jul-09,1.455,0.669,0.462,0.222
Aug-09,1.484,0.677,0.498,0.233
Sep-09,1.46,0.659,0.507,0.212
Oct-09,1.468,0.675,0.503,0.206
Nov-09,1.422,0.675,0.447,0.239
Dec-09,1.765,0.741,0.604,0.321
Jan-10,1.665,0.738,0.574,0.294
Feb-10,1.739,0.778,0.554,0.315
Mar-10,1.718,0.79,0.542,0.292
Apr-10,1.71,0.808,0.511,0.268
May-10,1.686,0.817,0.468,0.28
Jun-10,1.821,0.851,0.434,0.396
