Date,Purchase of other vehicles and equipment ($b),Household and personal goods ($b),Travel and holidays ($b),External refinancing ($b)
Mar-04,0.033,0.027,0.033,0.118
Apr-04,0.03,0.028,0.038,0.111
May-04,0.034,0.026,0.039,0.116
Jun-04,0.035,0.028,0.04,0.115
Jul-04,0.033,0.029,0.045,0.13
Aug-04,0.032,0.028,0.04,0.126
Sep-04,0.034,0.029,0.045,0.124
Oct-04,0.033,0.03,0.046,0.124
Nov-04,0.038,0.03,0.042,0.126
Dec-04,0.026,0.033,0.044,0.128
Jan-05,0.029,0.029,0.041,0.126
Feb-05,0.026,0.03,0.041,0.118
Mar-05,0.026,0.03,0.044,0.117
Apr-05,0.029,0.029,0.05,0.112
May-05,0.028,0.03,0.028,0.114
Jun-05,0.023,0.028,0.045,0.094
Jul-05,0.029,0.031,0.046,0.104
Aug-05,0.028,0.029,0.05,0.107
Sep-05,0.031,0.029,0.049,0.111
Oct-05,0.027,0.029,0.047,0.119
Nov-05,0.03,0.028,0.051,0.12
Dec-05,0.029,0.028,0.047,0.134
Jan-06,0.029,0.031,0.05,0.139
Feb-06,0.029,0.031,0.048,0.151
Mar-06,0.03,0.03,0.052,0.152
Apr-06,0.028,0.03,0.054,0.143
May-06,0.027,0.032,0.058,0.166
Jun-06,0.028,0.031,0.047,0.172
Jul-06,0.031,0.032,0.057,0.17
Aug-06,0.033,0.032,0.063,0.173
Sep-06,0.031,0.034,0.063,0.169
Oct-06,0.034,0.032,0.07,0.155
Nov-06,0.034,0.035,0.07,0.155
Dec-06,0.035,0.032,0.065,0.139
Jan-07,0.034,0.031,0.062,0.138
Feb-07,0.037,0.032,0.06,0.138
Mar-07,0.036,0.034,0.063,0.143
Apr-07,0.037,0.034,0.033,0.151
May-07,0.032,0.035,0.032,0.148
Jun-07,0.042,0.043,0.034,0.158
Jul-07,0.035,0.033,0.032,0.152
Aug-07,0.035,0.034,0.029,0.159
Sep-07,0.034,0.033,0.031,0.167
Oct-07,0.037,0.035,0.031,0.173
Nov-07,0.036,0.036,0.033,0.186
Dec-07,0.037,0.034,0.042,0.174
Jan-08,0.035,0.037,0.042,0.199
Feb-08,0.033,0.036,0.037,0.22
Mar-08,0.032,0.036,0.038,0.199
Apr-08,0.034,0.035,0.037,0.187
May-08,0.033,0.029,0.036,0.143
Jun-08,0.031,0.035,0.04,0.161
Jul-08,0.031,0.034,0.039,0.166
Aug-08,0.031,0.035,0.038,0.157
Sep-08,0.034,0.032,0.039,0.163
Oct-08,0.029,0.035,0.038,0.176
Nov-08,0.026,0.033,0.035,0.173
Dec-08,0.027,0.038,0.032,0.216
Jan-09,0.029,0.038,0.032,0.211
Feb-09,0.03,0.038,0.032,0.216
Mar-09,0.027,0.036,0.031,0.209
Apr-09,0.029,0.037,0.033,0.221
May-09,0.028,0.036,0.032,0.233
Jun-09,0.03,0.036,0.033,0.255
Jul-09,0.029,0.034,0.035,0.251
Aug-09,0.03,0.035,0.036,0.258
Sep-09,0.029,0.035,0.034,0.242
Oct-09,0.028,0.032,0.031,0.235
Nov-09,0.028,0.034,0.03,0.222
Dec-09,0.03,0.052,0.032,0.224
Jan-10,0.032,0.044,0.03,0.221
Feb-10,0.034,0.048,0.032,0.214
Mar-10,0.034,0.049,0.035,0.215
Apr-10,0.032,0.047,0.037,0.213
May-10,0.028,0.046,0.034,0.216
Jun-10,0.033,0.047,0.036,0.255
Jul-10,0.034,0.048,0.032,0.227
Aug-10,0.029,0.044,0.035,0.225
Sep-10,0.033,0.045,0.033,0.235
Oct-10,0.033,0.045,0.037,0.24
Nov-10,0.031,0.045,0.038,0.261
Dec-10,0.03,0.042,0.038,0.277
Jan-11,0.025,0.042,0.04,0.241
Feb-11,0.027,0.035,0.039,0.222
Mar-11,0.031,0.043,0.039,0.21
Apr-11,0.03,0.048,0.04,0.227
May-11,0.032,0.052,0.043,0.235
Jun-11,0.033,0.057,0.043,0.236
Jul-11,0.032,0.054,0.042,0.231
Aug-11,0.034,0.058,0.042,0.233
Sep-11,0.033,0.058,0.042,0.242
Oct-11,0.034,0.054,0.043,0.24
Nov-11,0.036,0.055,0.044,0.24
Dec-11,0.038,0.057,0.046,0.237
Jan-12,0.037,0.056,0.046,0.242
Feb-12,0.037,0.056,0.047,0.263
Mar-12,0.036,0.058,0.052,0.265
Apr-12,0.038,0.06,0.048,0.244
May-12,0.036,0.062,0.052,0.247
Jun-12,0.035,0.064,0.052,0.234
Jul-12,0.038,0.068,0.052,0.278
Aug-12,0.038,0.068,0.053,0.256
Sep-12,0.042,0.071,0.059,0.262
Oct-12,0.039,0.07,0.059,0.24
Nov-12,0.043,0.068,0.06,0.234
Dec-12,0.042,0.071,0.062,0.242
Jan-13,0.041,0.076,0.063,0.242
Feb-13,0.04,0.075,0.061,0.243
Mar-13,0.039,0.07,0.058,0.271
Apr-13,0.041,0.068,0.058,0.296
May-13,0.04,0.068,0.056,0.262
Jun-13,0.036,0.065,0.055,0.244
Jul-13,0.042,0.068,0.059,0.186
Aug-13,0.036,0.067,0.06,0.163
Sep-13,0.039,0.069,0.059,0.173
Oct-13,0.044,0.072,0.06,0.189
Nov-13,0.039,0.072,0.06,0.19
Dec-13,0.038,0.072,0.06,0.177
Jan-14,0.042,0.072,0.06,0.171
Feb-14,0.042,0.073,0.062,0.17
Mar-14,0.041,0.074,0.061,0.159
Apr-14,0.036,0.071,0.062,0.153
May-14,0.041,0.073,0.068,0.152
Jun-14,0.041,0.074,0.062,0.151
Jul-14,0.04,0.074,0.061,0.166
Aug-14,0.044,0.08,0.061,0.176
Sep-14,0.043,0.081,0.054,0.177
Oct-14,0.044,0.089,0.059,0.184
Nov-14,0.043,0.088,0.064,0.159
Dec-14,0.041,0.071,0.057,0.162
Jan-15,0.036,0.082,0.054,0.149
Feb-15,0.039,0.081,0.054,0.163
Mar-15,0.039,0.085,0.062,0.162
Apr-15,0.038,0.088,0.06,0.172
May-15,0.04,0.087,0.062,0.167
Jun-15,NA,0.09,0.061,NA
Jul-15,NA,0.086,0.064,NA
Aug-15,NA,0.093,0.063,NA
Sep-15,0.04,0.081,0.061,0.104
Oct-15,0.041,0.071,0.062,0.101
Nov-15,0.042,0.073,0.065,0.112
Dec-15,0.046,0.076,0.064,0.112
Jan-16,0.044,0.077,0.063,0.109
Feb-16,0.045,0.072,0.064,0.114
Mar-16,0.05,0.077,0.064,0.116
Apr-16,0.05,0.082,0.066,0.127
May-16,0.047,0.081,0.065,0.116
Jun-16,0.048,0.078,0.066,0.128
Jul-16,0.046,0.078,0.065,0.131
Aug-16,0.045,0.077,0.064,0.134
Sep-16,0.044,0.074,0.066,0.141
Oct-16,0.045,0.07,0.064,0.141
Nov-16,0.045,0.071,0.061,0.139
Dec-16,0.051,0.074,0.06,0.163
